#,Weakness,Weakness ID,Vulnerability ID,Location,Stream,Specific,Description,Status,Severity Level,Severity,Report Date,Closing Date,Technique,CVSSv4.0 Vector String,CVE,Recommendation,CWE IDs,Package,Vulnerable Version,EPSS
1,Cross-Site Scripting (XSS) Reflejado,W001,VULN-001,auth-service,web,login,"XSS en el endpoint de login que permite inyección de scripts en el parámetro ""username"".",Close,Critical,5,2026-01-15,2026-01-16,SAST,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:P/VC:L/VI:L/VA:N/SC:N/SI:N/SA:N,CVE-2024-12345,Sanitizar entrada del usuario con escape HTML.,CWE-79,react-dom,18.2.0,0.85
2,SQL Injection,W002,VULN-002,account-service,api,users,"Búsqueda de cuentas vulnerable a inyección SQL en el parámetro ""q"".",Close,Critical,,2026-01-15,2026-01-17,DAST,,CVE-2024-23456,Usar consultas parametrizadas.,CWE-89,,,0.92
3,Insecure Direct Object Reference (IDOR),W003,VULN-003,payment-processor,api,orders,Acceso a órdenes de otros usuarios sin validación de permisos.,Close,High,,2026-01-20,2026-01-18,DAST,,,Validar que el usuario autenticado sea propietario del recurso.,CWE-639,express,4.18.2,0.45
4,Stored XSS,W004,VULN-004,user-profile-service,admin,users,El perfil de usuario permite almacenar scripts maliciosos.,Close,High,4,2026-01-10,2026-01-19,SAST,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:P/VC:L/VI:L/VA:N/SC:N/SI:N/SA:N,CVE-2024-34567,Aplicar sanitización en backend y frontend.,CWE-79,angular,16.1.0,0.72
5,Missing Authentication,W005,VULN-005,api-gateway,infra,healthcheck,Endpoint de healthcheck expone métricas del sistema sin autenticación.,Close,Medium,,2026-02-01,2026-01-20,SAST,,,Agregar autenticación básica al endpoint.,CWE-306,,,0.12
6,Information Disclosure,W006,VULN-006,api-gateway,api,debug,Endpoint de debug expone stack traces con rutas internas del servidor.,Close,Medium,,2026-01-25,2026-01-21,SAST,,CVE-2024-45678,Deshabilitar endpoint de debug en producción.,CWE-200,express,4.18.2,0.08
7,Weak Password Policy,W007,VULN-007,auth-service,web,auth,No se exige complejidad mínima de contraseña en el registro.,Close,Medium,,2026-01-05,2026-01-22,Manual,,CVE-2024-56789,Implementar política de complejidad.,CWE-521,,,0.05
8,Server-Side Request Forgery (SSRF),W008,VULN-008,api-gateway,api,proxy,El gateway permite solicitudes a hosts internos arbitrarios.,Close,High,,2026-02-10,2026-01-23,DAST,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:L/VI:L/VA:N/SC:N/SI:N/SA:N,CVE-2024-67890,Validar URLs contra whitelist de destinos permitidos.,CWE-918,axios,1.6.0,0.63
9,Improper Access Control,W009,VULN-009,api-gateway,api,admin,Usuarios no administradores pueden listar todos los usuarios.,Close,High,,2026-01-18,2026-01-24,SAST,,,Implementar middleware de rol admin.,CWE-285,,,0.48
10,CSRF,W010,VULN-010,payment-processor,api,transactions,Las transferencias no tienen protección CSRF.,Close,High,4.5,2026-01-22,2026-01-25,DAST,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:R/VC:L/VI:L/VA:N/SC:N/SI:N/SA:N,CVE-2024-78901,Implementar tokens CSRF.,CWE-352,express,4.18.2,0.55
11,Path Traversal,W011,VULN-011,notification-service,web,files,El endpoint de descarga permite leer archivos fuera del directorio permitido.,Close,Critical,,2026-02-05,2026-01-26,DAST,,CVE-2024-89012,Sanitizar el path y restringir a directorio base.,CWE-22,,,0.88
12,Use of Hardcoded Credentials,W012,VULN-012,etl-orchestrator,config,general,Credenciales de base de datos hardcodeadas en archivo de configuración.,Close,Critical,,2026-01-12,2026-01-27,SAST,,CVE-2024-90123,Usar variables de entorno o vault.,CWE-798,,,0.15
13,Unvalidated Redirect,W013,VULN-013,user-profile-service,web,auth,"El parámetro ""redirect"" permite redirigir a sitios externos maliciosos.",Close,Medium,,2026-01-28,2026-01-28,SAST,,,Validar URLs contra whitelist.,CWE-601,,,0.22
14,Excessive Data Exposure,W014,VULN-014,user-profile-service,api,users,La respuesta incluye campos sensibles como hash de contraseña.,Close,Low,,2026-02-08,2026-01-29,SAST,,,Crear DTO de respuesta que excluya campos sensibles.,CWE-200,,,0.03
15,Denial of Service (DoS),W015,VULN-015,api-gateway,api,search,Búsquedas sin límite de resultados pueden agotar recursos.,Close,Medium,,2026-02-12,2026-01-30,DAST,,,Implementar paginación y rate limiting.,CWE-770,express,4.18.2,0.18
16,Authentication Bypass,W016,VULN-016,data-ingestion,web,admin,El panel de admin de ingesta de datos es accesible sin autenticación.,Close,Critical,,2026-01-30,2026-01-31,Manual,,CVE-2024-01234,Agregar guard de autenticación.,CWE-306,@angular/core,16.1.0,0.77
17,Insecure Deserialization,W017,VULN-017,fraud-detection,api,import,La deserialización de datos batch permite ejecución remota de código.,Close,Critical,,2026-02-15,2026-02-01,DAST,,CVE-2024-12345,Usar formatos seguros de serialización.,CWE-502,node-serialize,0.2.0,0.95
18,Weak TLS Configuration,W018,VULN-018,api-gateway,infra,tls,El gateway acepta conexiones con TLS 1.0 y 1.1.,Close,Low,,2026-01-08,2026-02-02,DAST,,,Deshabilitar TLS 1.0/1.1.,CWE-327,openssl,1.1.1,0.01
19,Exposed .env File,W019,VULN-019,account-service,infra,config,Archivo .env expuesto permite acceder a variables de entorno.,Close,Critical,,2026-02-03,2026-02-03,Manual,,,Bloquear acceso a archivos .env.,CWE-16,,,0.91
20,Open Redirect in SSO,W020,VULN-020,auth-service,web,auth,El SSO permite redirigir a URLs no autorizadas después del login.,Close,Medium,,2026-01-20,2026-02-04,SAST,,CVE-2024-23456,Validar redirect_uri contra whitelist.,CWE-601,,,0.08
